id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9561572,City centre duplex. Roof Terrace.,49483618,Mark,Manchester,City Centre,53.47224,-2.24098,Private room,62,1,660,2022-12-18,7.96,1,55,106,
9591225,Relaxing Cosy Double Room,49643243,Michael,Manchester,Gorton South,53.44967,-2.18278,Private room,58,1,47,2022-10-30,0.57,1,0,7,
9611528,01 Back Double Room,46539947,Dzark,Manchester,Gorton North,53.46495,-2.19067,Private room,39,2,278,2022-12-16,3.23,6,301,35,
9662753,Modern Elegant 6 Bed Town House – (68),4949917,My-Places,Manchester,Cheetham,53.49928,-2.24082,Private room,729,1,0,,,31,362,0,
9722994,Alex & Xanthe welcome you to Bowdon,50183230,Alexandxanthe1,Trafford,Trafford District,53.37214,-2.36167,Private room,75,1,96,2022-06-12,1.12,1,1,4,
9933993,Calm haven in popular Chorlton. Welcome!,51060582,Wendy,Manchester,Chorlton Park,53.43244,-2.2749,Private room,27,2,44,2022-09-17,0.62,1,270,4,
10066311,"Comfy, Spacious and Homely. 5 Mins from Piccadilly",35311832,Rory,Manchester,Bradford,53.48718,-2.20834,Private room,32,2,309,2022-12-27,3.86,3,100,44,
10085259,spacious flat near Manchester Uni,17702198,Evadne,Manchester,City Centre,53.47218,-2.2425,Entire home/apt,63,18,11,2022-11-18,0.27,4,61,3,
10244403,Beautifully furnished VictorianHome,33251752,Nicola,Bolton,Bolton District,53.54192,-2.3789,Entire home/apt,95,3,82,2022-11-20,1.02,1,316,10,
10249259,Luxury City Centre Apartment!,52155881,L,Manchester,City Centre,53.47469,-2.24715,Entire home/apt,154,1,117,2022-09-09,1.47,3,90,9,
10303617,Big Comfy Room in Leafy Central Suburb,53013774,Frances,Manchester,Chorlton,53.44474,-2.28307,Private room,55,1,139,2022-12-04,1.66,1,356,30,
10379829,3 bedroom house in Burnage,16697099,Mo,Manchester,Burnage,53.4312,-2.20674,Entire home/apt,379,4,16,2021-07-24,0.20,4,365,0,
10397953,Airy Spacious Flat In The Heart Of  West Didsbury,20767679,Caroline,Manchester,Chorlton Park,53.42757,-2.24297,Entire home/apt,77,3,269,2022-12-23,3.49,3,343,27,
10401510,Stunning 4 Bed Superhouse sleeps 10,53556912,Alay,Bolton,Bolton District,53.57916,-2.45657,Entire home/apt,424,1,26,2021-08-29,0.32,4,0,0,
10525046,Spacious Piccadilly Studio- Manchester City Centre,53972208,Michael,Manchester,City Centre,53.48046,-2.23451,Entire home/apt,71,3,146,2022-12-11,1.74,5,149,20,
10539658,Pad 2 - One Bedroom Apartment - Lushpads,41785461,Jennie,Manchester,Ancoats and Clayton,53.48296,-2.23449,Entire home/apt,200,1,65,2022-12-09,0.83,1,335,18,
10561424,Twin room,38458938,Caroline,Manchester,Moss Side,53.45044,-2.2353,Private room,80,1,33,2022-10-16,0.40,2,301,6,
10587645,"Private Studio, spotless Cosy with ensuite",54622533,Karl,Manchester,Northenden,53.40946,-2.27423,Private room,33,1,369,2022-12-21,4.41,1,5,82,
10622228,Lovely room near to the city center,12053688,Kevin,Manchester,Bradford,53.4765,-2.20787,Private room,43,1,28,2021-12-15,0.33,2,0,0,
